Subject,Level,Strand,Sub-strand,Description,Code
Media Arts,Pre-Primary,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (capturing, selecting and arranging images)symbolic (objects, colour)to produce media work (ACAMAM055)",ACAMAM055
Media Arts,Pre-Primary,Making,Production,Production of images and/or signs and symbols in a media work to communicate a message for a purpose (ACAMAM056),ACAMAM056
Media Arts,Pre-Primary,Responding,,Responses to images that communicate messages in the community and use different features to capture an audience (ACAMAR057),ACAMAR057
Media Arts,Pre-Primary,Responding,,Personal responses to media work they view and produce (ACAMAR057),ACAMAR057
Media Arts,Year 1,Making,Ideas,"Exploration and experimentation of images, sounds and text to communicate ideas and tell stories (ACAMAM054)",ACAMAM054
Media Arts,Year 1,Making,Ideas,"Use of familiar signs and symbols, including logos and icons, used in different contexts (ACAMAM054)",ACAMAM054
Media Arts,Year 1,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (capturing, selecting and arranging images)symbolic (objects, colour)audio (selecting and capturing sounds to create a mood or feeling; loudness and softness)written (adding text)to produce media work (ACAMAM055)",ACAMAM055
Media Arts,Year 1,Making,Production,"Production of media through the selection and editing of sound, text and images, to communicate an idea or story to an audience (ACAMAM056)",ACAMAM056
Media Arts,Year 1,Responding,,"Different media work that convey messages (advertisements on television, billboards, digital and print) (ACAMAR057)",ACAMAR057
Media Arts,Year 1,Responding,,"Personal responses, expressing ideas and feelings about the media work they view and produce (ACAMAR057)",ACAMAR057
Media Arts,Year 2,Making,Ideas,Exploration of character and setting in familiar stories in different media types (ACAMAM054),ACAMAM054
Media Arts,Year 2,Making,Ideas,Exploration of archetypes and settings in stories and how they enhance the narrative (ACAMAM054),ACAMAM054
Media Arts,Year 2,Making,Ideas,"Use of familiar and unfamiliar contemporary signs and symbols, including logos and icons, to create meaning and purpose in a variety of contexts (ACAMAM054)",ACAMAM054
Media Arts,Year 2,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (capturing, selecting and arranging images)symbolic (objects, colour, setting)audio (selecting and capturing sounds to create a mood or feeling; loudness and softness)written (selecting, arranging and editing text to organise important features of an idea or story)to produce media work (ACAMAM055)",ACAMAM055
Media Arts,Year 2,Making,Production,Production of media work conveying a story or a section of a story with character and setting using audio and/or visual techniques (ACAMAM056),ACAMAM056
Media Arts,Year 2,Responding,,Different media types use specific features to communicate messages to different audiences (ACAMAR057),ACAMAR057
Media Arts,Year 2,Responding,,"Personal responses, identifying interests and preferences in media work they view and produce (ACAMAR057)",ACAMAR057
Media Arts,Year 3,Making,Ideas,"Exploration of how sequenced images, audio and text can be used to tell a story or convey a message (ACAMAM058)",ACAMAM058
Media Arts,Year 3,Making,Ideas,Exploration of how fictional characters are represented in stories (ACAMAM058),ACAMAM058
Media Arts,Year 3,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (sequencing and editing images to organise events in a story; camera shots&nbsp;(close-up); camera angles (low angle))symbolic (objects, colour, setting, using costumes and props to represent familiar people as fictional characters)audio (loudness and softness; music to convey a mood; sound effects)written (selecting, arranging and editing text to organise important features of an idea or story)when producing media work (ACAMAM059)",ACAMAM059
Media Arts,Year 3,Making,Production,"Production of media work, using codes and conventions to enhance the story or message for an intended audience (ACAMAM060)",ACAMAM060
Media Arts,Year 3,Responding,,"Appropriate responses to, and respect for, media work from different social, cultural and/or historical contexts (ACAMAR061)",ACAMAR061
Media Arts,Year 3,Responding,,"Responses that involve identifying and reflecting on, the use of codes and conventions of media in their own and others' media work, using media terminology (ACAMAR061)",ACAMAR061
Media Arts,Year 4,Making,Ideas,"Exploration of how narrative structures are used to tell a story or convey a message with a beginning, middle and end (ACAMAM058)",ACAMAM058
Media Arts,Year 4,Making,Ideas,Manipulation of familiar settings to create fictional settings (ACAMAM058),ACAMAM058
Media Arts,Year 4,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (sequencing and editing images to organise events in a story; camera shots (close-up, long shot); camera angles (low angle, high angle))symbolic (using costumes and props to represent as fictional and/or non-fictional characters; manipulating familiar places to create fictional settings)audio (loudness and softness; music to convey a mood; sound effects)written (selecting, arranging and editing text to organise important features of an idea or story)when producing media work (ACAMAM059)",ACAMAM059
Media Arts,Year 4,Making,Production,Uses narrative structures to produce fictional and non-fictional media work to engage an audience (ACAMAM060),ACAMAM060
Media Arts,Year 4,Making,Production,Protocols (permission for images of individuals to be used) in media work (ACAMAM060),ACAMAM060
Media Arts,Year 4,Responding,,"Considered responses to, and respect for, a variety of media from different social, cultural and/or historical contexts (ACAMAR061)",ACAMAR061
Media Arts,Year 4,Responding,,"Responses that involve identifying and reflecting on the meaning and purpose of their own and others' media work, using media terminology (ACAMAR061)",ACAMAR061
Media Arts,Year 5,Making,Ideas,Exploration of how narrative structures are used to communicate ideas to an audience for a purpose (ACAMAM062),ACAMAM062
Media Arts,Year 5,Making,Ideas,Exploration of stories from a specific point of view (ACAMAM062),ACAMAM062
Media Arts,Year 5,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (sequencing and editing of images to support particular purposes; camera shots (close-up, mid-shot, long shot); camera angles (low angle, high angle, eye-level))symbolic (using costumes and props to represent people as fictional and/or non-fictional characters; manipulating familiar places to create fictional settings; consideration of natural light to enhance a shot)audio (loudness and softness; music to convey a mood; sound effects)written (selecting text to strengthen meaning or create point of view)when producing media work (ACAMAM063)",ACAMAM063
Media Arts,Year 5,Making,Production,Uses narrative structures to communicate a point of view for an intended audience (ACAMAM064),ACAMAM064
Media Arts,Year 5,Making,Production,Protocols (permission for images and videos of individuals to be used) in media work (ACAMAM060),ACAMAM060
Media Arts,Year 5,Responding,,The role of media in different cultures and times (ACAMAR065),ACAMAR065
Media Arts,Year 5,Responding,,Responses that involve identifying and describing how the codes and conventions are used to communicate meaning and create point of view (ACAMAR065),ACAMAR065
Media Arts,Year 6,Making,Ideas,Exploration of how narrative structures and tension engage an audience (ACAMAM062),ACAMAM062
Media Arts,Year 6,Making,Ideas,Exploration of stories and ideas from different viewpoints (ACAMAM062),ACAMAM062
Media Arts,Year 6,Making,Skills,"Exploration and experimentation with the codes and conventions of media:technical (sequencing and editing images to support particular purposes; camera shots (close-up, mid-shot, long shot); camera angles (low angle, high angle, eye-level))symbolic (using costumes and props to represent people as fictional and/or&nbsp;non-fictional characters; manipulating familiar places to create fictional settings; manipulating natural light to enhance a shot; using body language to create meaning)audio (loudness and softness; music to convey a mood; sound effects)written (selecting text to strengthen a viewpoint and engage an audience)when producing media work (ACAMAM063)",ACAMAM063
Media Arts,Year 6,Making,Production,Uses narrative structures to create tension and engage an audience (ACAMAM064),ACAMAM064
Media Arts,Year 6,Making,Production,Uses different viewpoints in story making to engage an audience (ACAMAM064),ACAMAM064
Media Arts,Year 6,Making,Production,"Protocols (permission for images and videos of individuals to be used, use of borrowed materials) in media work (ACAMAM060)",ACAMAM060
Media Arts,Year 6,Responding,,"Regulation and ethical behaviour in media, including the role of organisations and communities (ACAMAR065)",ACAMAR065
Media Arts,Year 6,Responding,,Factors that influence media in different cultures and times (ACAMAR065),ACAMAR065
Media Arts,Year 6,Responding,,"Responses that involve describing how codes and narrative conventions communicate meaning, using media terminology (ACAMAR065)",ACAMAR065
Media Arts,Year 7,Making,Media languages,Introduction to key terminology and technologies related to selected context and focus (ACAMAM066),ACAMAM066
Media Arts,Year 7,Making,Media languages,Introduction to the basic communication model (ACAMAM066),ACAMAM066
Media Arts,Year 7,Making,Media languages,"Codes and conventions of media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 7,Making,Media languages,"Point of view in the context of the media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 7,Making,Media languages,"Narrative conventions in the context of the media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 7,Making,Representation,"Representation of ideas, issues or people in the media and the values they represent (consideration of stereotypes) (ACAMAM067)",ACAMAM067
Media Arts,Year 7,Making,Production,Controls and audience values influencing the production of media work (ACAMAM070),ACAMAM070
Media Arts,Year 7,Making,Skills and processes,Basic media production skills to integrate codes and conventions in media work for a specific purpose and meaning (ACAMAM068),ACAMAM068
Media Arts,Year 7,Making,Skills and processes,Awareness and safety when using technologies and resources (ACAMAM069),ACAMAM069
Media Arts,Year 7,Making,Skills and processes,Team skills and specific role responsibilities (ACAMAM068),ACAMAM068
Media Arts,Year 7,Making,Skills and processes,"Production process using basic technical skills and processes, scripts, storyboards and layouts (ACAMAM068)",ACAMAM068
Media Arts,Year 7,Responding,Analysing and reflecting on intentions,The effectiveness of their own and others&rsquo; media work for the audience and intended purpose (ACAMAR072),ACAMAR072
Media Arts,Year 7,Responding,Analysing and reflecting on intentions,Media work from contemporary times to explore differing viewpoints (ACAMAR072),ACAMAR072
Media Arts,Year 7,Responding,Audience,"The role of the audience (interests, values, expectations) in influencing the producer&rsquo;s selection process (selection, omission, emphasis) (ACAMAR069)",ACAMAR069
Media Arts,Year 7,Responding,Audience,Intended audiences for which media work is produced (ACAMAR071),ACAMAR071
Media Arts,Year 7,Responding,Audience,Ways audiences use media for a specific purpose (ACAMAR072),ACAMAR072
Media Arts,Year 8,Making,Media languages,Introduction to key terminology and technologies related to selected context and focus (ACAMAM066),ACAMAM066
Media Arts,Year 8,Making,Media languages,Revision and expansion of the basic communication model to include the communication process of new and emerging media technologies (ACAMAM066),ACAMAM066
Media Arts,Year 8,Making,Media languages,"Codes and conventions of common media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 8,Making,Media languages,"Point of view for a specific audience in the context of the media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 8,Making,Media languages,"Narrative conventions in the context of the media type, genre and/or style studied (ACAMAM066)",ACAMAM066
Media Arts,Year 8,Making,Representation,"Representation of ideas, issues or people in the media and the values they represent (consideration of stereotypes) (ACAMAM067)",ACAMAM067
Media Arts,Year 8,Making,Production,Controls and audience values influencing the production of media work (ACAMAM070),ACAMAM070
Media Arts,Year 8,Making,Skills and processes,Media production skills to integrate codes and conventions in media work for a specific purpose and meaning (ACAMAM068),ACAMAM068
Media Arts,Year 8,Making,Skills and processes,Awareness and safety when using technologies and resources (ACAMAM069),ACAMAM069
Media Arts,Year 8,Making,Skills and processes,Team skills and specific role responsibilities (ACAMAM068),ACAMAM068
Media Arts,Year 8,Making,Skills and processes,Development of problem-solving skills (ACAMAM068),ACAMAM068
Media Arts,Year 8,Making,Skills and processes,"Production process using basic technical skills and processes, scripts, storyboards and layouts (ACAMAM068)",ACAMAM068
Media Arts,Year 8,Responding,Analysing and reflecting on intentions,"The effectiveness of their own and others&rsquo; media work for the intended audience, purpose and context (ACAMAR072)",ACAMAR072
Media Arts,Year 8,Responding,Analysing and reflecting on intentions,Media work from contemporary times to explore differing viewpoints (ACAMAR072),ACAMAR072
Media Arts,Year 8,Responding,Audience,"The role of the audience (interests, values, expectations) in influencing the producer's selection process (selection, omission, emphasis) (ACAMAR072)",ACAMAR072
Media Arts,Year 8,Responding,Audience,Intended audiences for which media work is produced (ACAMAR071),ACAMAR071
Media Arts,Year 8,Responding,Audience,Current trends in how audiences use media (ACAMAR072),ACAMAR072
Media Arts,Year 9,Making,Media languages,Introduction to key terminology and technologies related to selected context and focus (ACAMAM073),ACAMAM073
Media Arts,Year 9,Making,Media languages,"Codes and conventions for constructing meaning in the selected media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 9,Making,Media languages,"Point of view for different audiences in the context of the media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 9,Making,Media languages,"Media works that experiment with narrative conventions in the context of the media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 9,Making,Representation,"Representation of ideas, issues or people in the media now, and/or in the past, and the values they represent (consideration of stereotypes) (ACAMAM074)",ACAMAM074
Media Arts,Year 9,Making,Production,Controls and audience values impacting the production context of media work (ACAMAM077),ACAMAM077
Media Arts,Year 9,Making,Skills and processes,"Media production skills to integrate codes and conventions in media work for a specific purpose, meaning and style (ACAMAM075)",ACAMAM075
Media Arts,Year 9,Making,Skills and processes,Independent awareness of safe production practices when using technologies and resources (ACAMAM077),ACAMAM077
Media Arts,Year 9,Making,Skills and processes,Team skills and specific role responsibilities (ACAMAM076),ACAMAM076
Media Arts,Year 9,Making,Skills and processes,Personal and group timelines and development of problem-solving skills (ACAMAM076),ACAMAM076
Media Arts,Year 9,Making,Skills and processes,"Production process using appropriate technical skills and processes, scripts, storyboards and layouts (ACAMAM075)",ACAMAM075
Media Arts,Year 9,Responding,Analysing and reflecting on intentions,"The impact of their own and others&rsquo; media work for the intended audience, purpose and context (ACAMAR078)",ACAMAR078
Media Arts,Year 9,Responding,Analysing and reflecting on intentions,"Media work from contemporary and past times to explore differing viewpoints in Australian media work and/or international media work
(ACAMAR079)",ACAMAR079
Media Arts,Year 9,Responding,Analysing and reflecting on intentions,"Media conventions, social and/or cultural beliefs and values that underpin representations in media work (ACAMAR078)",ACAMAR078
Media Arts,Year 9,Responding,Audience,"Impact of intended audience on the producer&rsquo;s selections in choosing codes and conventions, styles, narrative, genre, representations, stereotypes, differing points of view and values (ACAMAR078)",ACAMAR078
Media Arts,Year 9,Responding,Audience,Intended audience profile of specific media work (ACAMAR078),ACAMAR078
Media Arts,Year 9,Responding,Audience,Impact of current trends in how audiences use media (ACAMAR079),ACAMAR079
Media Arts,Year 10,Making,Media languages,Introduction to key terminology and technologies related to selected context and focus (ACAMAM073),ACAMAM073
Media Arts,Year 10,Making,Media languages,"Codes and conventions for constructing meaning in the selected media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 10,Making,Media languages,"Alternative points of view for different audiences in the context of the media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 10,Making,Media languages,"Media works that manipulate narrative conventions in the context of the media type, genre and/or style studied (ACAMAM073)",ACAMAM073
Media Arts,Year 10,Making,Representation,"Representation of ideas, issues and/or people in the media now, and/or in the past, and the values they represent or challenge (consideration of stereotypes) (ACAMAM074)",ACAMAM074
Media Arts,Year 10,Making,Production,"Controls, constraints and audience values impacting the production context of media work (ACAMAM074)",ACAMAM074
Media Arts,Year 10,Making,Skills and processes,"Media production skills to integrate and shape codes and conventions in media work for a specific purpose, meaning and style (ACAMAM075)",ACAMAM075
Media Arts,Year 10,Making,Skills and processes,Independent awareness of safe production practices when using technologies and resources (ACAMAM077),ACAMAM077
Media Arts,Year 10,Making,Skills and processes,Team skills and specific role responsibilities (ACAMAM076),ACAMAM076
Media Arts,Year 10,Making,Skills and processes,Personal and group timelines and development of problem-solving skills (ACAMAM075),ACAMAM075
Media Arts,Year 10,Making,Skills and processes,"Clear self-production processes using appropriate technical skills, scripts, storyboards and layouts (ACAMAM075)",ACAMAM075
Media Arts,Year 10,Responding,Analysing and reflecting on intentions,"The impact of their own and others&rsquo; media work for the intended audience, purpose and context (ACAMAR078)",ACAMAR078
Media Arts,Year 10,Responding,Analysing and reflecting on intentions,"Media work from contemporary and past times to explore differing viewpoints in Australian media work and/or international media work 
(ACAMAR079)",ACAMAR079
Media Arts,Year 10,Responding,Analysing and reflecting on intentions,"Media conventions, social and cultural beliefs and values, local and/or global, that underpin representations and shape purposes and processes in media work (ACAMAR078)",ACAMAR078
Media Arts,Year 10,Responding,Analysing and reflecting on intentions,"Values presented or challenged by celebrities, stars and/or heroes (ACAMAR078)",ACAMAR078
Media Arts,Year 10,Responding,Audience,"Impact of intended audience on the producer&rsquo;s selections in choosing codes and conventions, styles, narrative, genre, representations, stereotypes, differing points of view and values (ACAMAR078)",ACAMAR078
Media Arts,Year 10,Responding,Audience,Intended audience profiles of specific media work (ACAMAR078),ACAMAR078
Media Arts,Year 10,Responding,Audience,Impact of past and current trends in how audience use media (ACAMAR079),ACAMAR079
Drama,ABLEWA Stage A,Stage A Content Descriptions,Explore and Represent Ideas,Experience elements of dramatic play with support (VCADRE001),VCADRE001
Drama,ABLEWA Stage A,Stage A Content Descriptions,Drama Practices,Use facial expression to communicate a feeling or reaction (VCADRD002),VCADRD002
Drama,ABLEWA Stage A,Stage A Content Descriptions,Present and Perform,Be involved in sharing ideas through drama (VCADRP003),VCADRP003
Drama,ABLEWA Stage A,Stage A Content Descriptions,Respond and Interpret,React to drama (VCADRR004),VCADRR004
Drama,ABLEWA Stage B,Stage B Content Descriptions,Explore and Represent Ideas,Use structured dramatic play to explore ideas (VCADRE005),VCADRE005
Drama,ABLEWA Stage B,Stage B Content Descriptions,Drama Practices,"Use voice, facial expression, and/or movement to imitate role and situation (VCADRD006)",VCADRD006
Drama,ABLEWA Stage B,Stage B Content Descriptions,Present and Perform,Participate in drama performances to communicate a feeling and/or events (VCADRP007),VCADRP007
Drama,ABLEWA Stage B,Stage B Content Descriptions,Respond and Interpret,Respond to own and others drama (VCADRR008),VCADRR008
Drama,ABLEWA Stage C,Stage C Content Descriptions,Explore and Represent Ideas,Explore ideas for characters in dramatic play (VCADRE009),VCADRE009
Drama,ABLEWA Stage C,Stage C Content Descriptions,Drama Practices,"Use voice, facial expression and/or movement to imagine a role and situation (VCADRD010)",VCADRD010
Drama,ABLEWA Stage C,Stage C Content Descriptions,Present and Perform,"Present drama that communicates ideas, feelings and/or experiences (VCADRP011)",VCADRP011
Drama,ABLEWA Stage C,Stage C Content Descriptions,Respond and Interpret,Share responses to drama by answering yes/no questions and explore where and why people make drama (VCADRR012),VCADRR012
Drama,ABLEWA Stage D,Stage D Content Descriptions,Explore and Represent Ideas,Explore how characters express ideas in dramatic play (VCADRE013),VCADRE013
Drama,ABLEWA Stage D,Stage D Content Descriptions,Drama Practices,"Use voice, facial expression, movement and/or space to express ideas and feelings about their world (VCADRD014)",VCADRD014
Drama,ABLEWA Stage D,Stage D Content Descriptions,Present and Perform,Present drama that communicates major elements of stories and/or experiences (VCADRP015),VCADRP015
Drama,ABLEWA Stage D,Stage D Content Descriptions,Respond and Interpret,Respond to drama and describe some of the characteristics they observe (VCADRR016),VCADRR016
Drama,Pre-Primary,Making,Ideas,"Use of stimuli (photos, sounds or music) to develop dramatic action about the real and imagined worlds (ACADRM027)",ACADRM027
Drama,Pre-Primary,Making,Skills,"Exploration and experimentation of two (2) elements of drama:voice (loud, soft)movement (big, small)to create drama (ACADRM028)",ACADRM028
Drama,Pre-Primary,Making,Skills,Simple stories based on stimuli and available technologies (ACADRM029),ACADRM029
Drama,Pre-Primary,Making,Skills,Development of improvisation skills (accepting offers) to develop dramatic action (ACADRM028),ACADRM028
Drama,Pre-Primary,Making,Performance,Performance of improvised drama that communicate ideas to an audience (ACADRM029),ACADRM029
Drama,Pre-Primary,Making,Performance,Performance skills (facing the audience) when sharing drama with peers (ACADRM029),ACADRM029
Drama,Pre-Primary,Responding,,"Audience behaviour (being attentive, responding appropriately) when viewing drama (ACADRR030)",ACADRR030
Drama,Pre-Primary,Responding,,Different places and occasions where drama is seen or heard in the community (ACADRR030),ACADRR030
Drama,Pre-Primary,Responding,,Personal responses to drama they view and make (ACADRR030),ACADRR030
Drama,Year 1,Making,Ideas,Use of dramatic action to sequence events to communicate an idea or message (ACADRM027),ACADRM027
Drama,Year 1,Making,Skills,"Exploration and experimentation of three (3) elements of drama:voice (loud, soft, varying loud and soft)movement (big, small, use of facial expressions)role (fictional character)to create drama (ACADRM028)",ACADRM028
Drama,Year 1,Making,Skills,Use of known stories and personal experiences to create drama with simple objects and available technologies (ACADRM029),ACADRM029
Drama,Year 1,Making,Skills,Improvisation skills (contributing to the progression of action) to develop dramatic action  (ACADRM028),ACADRM028
Drama,Year 1,Making,Performance,"Performance of planned and spontaneous drama that expresses feelings, moods, ideas and experiences to an audience (ACADRM029)",ACADRM029
Drama,Year 1,Making,Performance,"Performance skills (performing towards the audience, raising chin for good eye lines) when sharing drama with peers (ACADRM029)",ACADRM029
Drama,Year 1,Responding,,Audience behaviour (paying attention to the development of a story) when viewing drama (ACADRR030),ACADRR030
Drama,Year 1,Responding,,Different places where drama is performed (ACADRR030),ACADRR030
Drama,Year 1,Responding,,Personal responses expressing ideas and feelings  to key moments in drama they view and make (ACADRR030),ACADRR030
Drama,Year 2,Making,Ideas,"Use of dramatic action to sequence events communicating an idea, message or story (ACADRM027)",ACADRM027
Drama,Year 2,Making,Skills,"Exploration and experimentation of four (4) elements of drama:voice (loud, soft, varying loud and soft; pace and pitch)movement (big, small; use of facial expressions; gestures; posture)role (fictional character; listening and responding in role)situation (establishing a fictional setting and relating to it in role)to create drama (ACADAM028)",ACADAM028
Drama,Year 2,Making,Skills,"Development of drama to communicate important personal events or fictional stories using objects, puppets, images and/or available technologies (ACADRM029)",ACADRM029
Drama,Year 2,Making,Skills,Improvisation skills (establishing a situation) to develop dramatic action and ideas (ACADRM028),ACADRM028
Drama,Year 2,Making,Performance,"Performance of drama to an audience demonstrating story structures to set the scene, link action and create an ending (ACADRM029)",ACADRM029
Drama,Year 2,Making,Performance,"Performance skills (suitable openings and conclusions to performances, appropriate stage crosses) when sharing drama with familiar audiences (ACADRM029)",ACADRM029
Drama,Year 2,Responding,,Audience behaviour (responding to interactive elements) where students view drama that uses different styles and unfamiliar stories (ACADRR030),ACADRR030
Drama,Year 2,Responding,,Reasons why people make drama (ACADRR030),ACADRR030
Drama,Year 2,Responding,,Personal responses using the elements of voice and movement in drama they view and make (ACADRR030),ACADRR030
Drama,Year 3,Making,Ideas,Improvised and devised drama based on narrative structures in familiar drama styles (ACADRM031),ACADRM031
Drama,Year 3,Making,Skills,"Exploration and experimentation of seven (7) elements of drama:voice (loud, soft, varying loud and soft; pitch variation; pace; volume)movement (facial expressions and gestures to create belief in character and situation)role (taking on the point of view of a fictional character; listening and responding in role; adopting a role and maintaining focus)situation (establishing and sustaining a fictional setting)space (establishing a clear setting)character (communicating character traits; developing relationships between characters)time (sense of time to create belief in drama)when creating improvised or devised drama (ACADRM032)",ACADRM032
Drama,Year 3,Making,Skills,Improvisation skills (breaking patterns) to develop drama (ACADRM032),ACADRM032
Drama,Year 3,Making,Performance,Rehearsal processes (to improve the flow of the performance) to support audience engagement (ACADRM033),ACADRM033
Drama,Year 3,Making,Performance,Performance skills and audience awareness (where performers use focus and control) when performing drama styles (ACADRM033),ACADRM033
Drama,Year 3,Responding,,"Appropriate responses to, and respect for, drama of others as performers and audience members (ACADRR034)",ACADRR034
Drama,Year 3,Responding,,Features of drama in different cultures and places (ACADRR034),ACADRR034
Drama,Year 3,Responding,,"Responses that involve identifying and reflecting on the use of the elements of drama, using drama terminology (ACADRR034)",ACADRR034
Drama,Year 4,Making,Ideas,Improvised and devised drama based on narrative structures in selected drama styles (ACADRM031),ACADRM031
Drama,Year 4,Making,Skills,"Exploration and experimentation of eight (8) elements of drama:voice (loud, soft, varying loud and soft; pitch variation; pace; volume)movement (facial expressions and gestures to create belief in character and situation)role (taking on the point of view of a fictional character; listening and responding in role; adopting a role and maintaining focus)situation (establishing and sustaining a fictional setting)space (establishing a clear setting)character (communicating character traits; developing relationships between characters)time (sense of time to create belief in drama)relationships (how relationships influence character development)when creating improvised or devised drama (ACADRM032)",ACADRM032
Drama,Year 4,Making,Skills,Improvisation skills (working with complications) to develop drama (ACADRM032),ACADRM032
Drama,Year 4,Making,Performance,Rehearsal processes (to improve transitions between scenes) to enhance audience engagement (ACADRM033),ACADRM033
Drama,Year 4,Making,Performance,Performance skills and audience awareness (where the performers use focus and control) when performing drama styles (ACADRM033),ACADRM033
Drama,Year 4,Responding,,"Considered responses to, and respect for, the drama of others as performers and audience members (ACADRM034)",ACADRM034
Drama,Year 4,Responding,,Ideas in drama from different cultures (ACADRM034),ACADRM034
Drama,Year 4,Responding,,"Responses that involve identifying and reflecting on the meaning and purpose of their own and others&rsquo; drama, using drama terminology (ACADRM034)",ACADRM034
Drama,Year 5,Making,Ideas,"Dramatic structures to sequence how a story is opened, how events are presented (mood and tension elements) and key details to help the audience understand dramatic meaning (ACADRM035)",ACADRM035
Drama,Year 5,Making,Skills,"Experimentation and refinement of ten (10) elements of drama:voice (loud, soft, varying loud and soft; pitch variation; pace; volume; clarity)movement (facial expressions and gestures to create belief in character and situation)role (taking on the point of view of a fictional character; listening and responding in role; adopting a role and maintaining focus)situation (establishing and sustaining a fictional setting)space (establishing a clear setting)character (communicating character traits; developing relationships between characters)time (sense of time to create belief in drama)tension (factors that contribute to suspense in stories; tension in characters' relationships)mood (describes the feelings and attitudes, often combined of the roles or characters involved in dramatic action)relationships (how relationships influence character development)when creating improvised, devised or scripted drama (ACADRM036)",ACADRM036
Drama,Year 5,Making,Skills,Improvisation skills (creating climax and dé&nbsp;&nbsp;nouement) to enhance drama (ACADRM036),ACADRM036
Drama,Year 5,Making,Performance,Rehearsal processes (giving and receiving feedback; working together) to improve drama to engage an intended audience (ACADRM037),ACADRM037
Drama,Year 5,Making,Performance,Performance skills and audience awareness (where the performers control the focus) to convey meaning to the audience (ACADRM037),ACADRM037
Drama,Year 5,Responding,,The role of drama in different cultures and times (ACADRR038),ACADRR038
Drama,Year 5,Responding,,"Responses that explain the purpose of drama and how the elements of drama are used to communicate meaning, using drama terminology (ACADRR038)",ACADRR038
